,T,b,name,err_TPD,std_TPD
21,10.0,5,phoneme,0.34944553511266446,0.014359893787229999
22,10.0,10,phoneme,0.3633177384908807,0.012057797126841348
23,10.0,20,phoneme,0.5457883132901635,0.058199660277594094
24,20.0,0,phoneme,0.25230090451228276,0.008477498442168052
25,20.0,1,phoneme,0.24856903187492133,0.009639324688867306
26,20.0,2,phoneme,0.2536212868742933,0.010494808258478936
27,20.0,5,phoneme,0.34837209488242493,0.014640180935737044
28,20.0,10,phoneme,0.36372479756969445,0.01192027663889241
29,20.0,20,phoneme,0.5453810486403768,0.05828217733747718
0,0.5,0,mozilla4,0.25640398842071416,0.0062560741500563895
1,0.5,1,mozilla4,0.2569121904149244,0.00610851624014922
2,0.5,2,mozilla4,0.25777849254851504,0.006162249280828155
3,0.5,5,mozilla4,0.30079125120617545,0.007492100442346897
4,0.5,10,mozilla4,0.34929344912619287,0.007156222689396593
5,0.5,20,mozilla4,0.5163653908009008,0.06143107199619854
6,1.0,0,mozilla4,0.2561359493942318,0.0062710955968417505
7,1.0,1,mozilla4,0.25671491369143346,0.006147443932549523
8,1.0,2,mozilla4,0.25783210035381143,0.00602421990490918
9,1.0,5,mozilla4,0.3008405703870482,0.007212078144795353
10,1.0,10,mozilla4,0.34999463921947055,0.0076980211101934865
11,1.0,20,mozilla4,0.5139187305671706,0.06540129903098682
12,5.0,0,mozilla4,0.2560351667202745,0.006209032169349132
13,5.0,1,mozilla4,0.25663342982738274,0.006102174946319715
14,5.0,2,mozilla4,0.2576305350058969,0.006069382438691989
15,5.0,5,mozilla4,0.30062185054143875,0.007391386962627678
16,5.0,10,mozilla4,0.3498552589256998,0.007679190403197125
17,5.0,20,mozilla4,0.5120038597619815,0.06653499909114137
18,10.0,0,mozilla4,0.25601372359815594,0.006243460977706045
19,10.0,1,mozilla4,0.25679210893106036,0.006098570577398658
20,10.0,2,mozilla4,0.25721882706121996,0.006061877704543093
21,10.0,5,mozilla4,0.3016403988420712,0.008300898183380003
22,10.0,10,mozilla4,0.35023480218719877,0.007674533847897664
23,10.0,20,mozilla4,0.5123984132089633,0.06553612763701937
24,20.0,0,mozilla4,0.2566462957006541,0.006297593805821938
25,20.0,1,mozilla4,0.25737965047710937,0.006212775612485209
26,20.0,2,mozilla4,0.25762410206926123,0.006482848791313008
27,20.0,5,mozilla4,0.3034308995389728,0.00918299670571055
28,20.0,10,mozilla4,0.35019620456738515,0.007624742456240884
29,20.0,20,mozilla4,0.5134555591294093,0.06560850773186791
